
31-DEC-13

"PERMIT","PROCESSOR NAME","PLANT LOCATION","ENDORSEMENT","PRIMARY OWNER","ADDRESS 1","ADDRESS 2","CITY","STATE","ZIP CODE"

"18671","APICDA JOINT VENTURES, INC.			  ","FALSE PASS,AK","SHP","APICDA JOINT VENTURES, INC.			    ","302 GOLD ST SUITE 202","","JUNEAU","AK","99801"
"25535","NSEDC						  ","NOME,AK","SHP","NSEDC					      ","420 L ST SUITE 310","","ANCHORAGE","AK","99501"
"26030","MCCUNE, MICHAEL R					      ","HOMER,AK","SHP","MCCUNE, MICHAEL R					       ","800 FISH DOCK RD","","HOMER","AK","99603"
"26247","NORTH PACIFIC SEAFOODS, INC			  ","TOGIAK,AK","SHP","NORTH PACIFIC SEAFOODS, INC			","4 NICKERSON STREET, SUITE 400","","SEATTLE","WA","98109"
"27444","TRIDENT SEAFOODS CORPORATION			  ","CHIGNIK,AK","SHP","TRIDENT SEAFOODS CORPORATION			 ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"27989","GLOBAL SEAFOODS NORTH AMERICA, LLC		  ","KODIAK,AK","SHP","GLOBAL SEAFOODS NORTH AMERICA, LLC		","1750 112TH AVENUE NE STE B-221","","BELLEVUE","WA","98004"
"27990","TRIDENT SEAFOODS CORPORATION			  ","KODIAK,AK","SHP","TRIDENT SEAFOODS CORPORATION			","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"27991","BAUMGART, HANK 					      ","JUNEAU,AK","SHP","BAUMGART, HANK						","1504 FAIRVIEW ST","","BELLINGHAM","WA","98226"
"28113","PETER PAN SEAFOODS, INC.			  ","DILLINGHAM,AK","SHP","PETER PAN SEAFOODS, INC.			    ","2200 6TH AVE, STE 1000","","SEATTLE","WA","98121"
"28197","FEE, EDWARD W						      ","WHITTIER, AK","SHP","FEE, EDWARD W						   ","PO BOX 790","","WHITTIER","AK","99693"
"28695","ISLAND FISH CO. LLC				  ","KODIAK,AK","SHP","ISLAND FISH CO. LLC				","317 SHELIKOF STREET","","KODIAK","AK","99615"
"28721","BLAKE, SCOTT A 					      ","ANCHORAGE,AK","SHP","BLAKE, SCOTT A						   ","1118 E 5TH AVE","","ANCHORAGE","AK","99501"
"29501","OLSEN, JEFFREY H					      ","SITKA, AK","SHP","OLSEN, JEFFREY H						","236 LINCOLN ST","","SITKA","AK","99835"
"29502","WESTWARD SEAFOODS, INC.			  ","KODIAK,AK","SHP","WESTWARD SEAFOODS, INC.				","2101 4TH AVE STE 1700","","SEATTLE","WA","98121"
"29503","CHADWICK, SCOTT					      ","YAKUTAT,AK","SHP","CHADWICK, SCOTT						 ","PO BOX 2","","YAKUTAT","AK","99689"
"29504","YAKUTAT SEAFOODS, LLC				  ","YAKUTAT,AK","SHP","YAKUTAT SEAFOODS, LLC				 ","PO BOX 419","P.O. BOX 419","YAKUTAT","AK","99689"
"29550","POLAR EQUIPMENT INC D.B.A. POLAR SEAFOODS	  ","SEWARD,AK","SHP","POLAR EQUIPMENT INC D.B.A. POLAR SEAFOODS	","1035 W NORTHERN LIGHTS BLVD","","ANCHORAGE","AK","99503"
"30032","ICICLE SEAFOODS, INC.				  ","EGEGIK,AK","SHP","ICICLE SEAFOODS, INC.				","4019 21ST AVE W","","SEATTLE","WA","98199"
"30131","SEA LEVEL SEAFOODS, LLC			  ","SEWARD,AK","SHP","SEA LEVEL SEAFOODS, LLC				","PO BOX 2085","","WRANGELL","AK","99929"
"30456","CARROLL, GLEN						      ","HOMER, AK","SHP","CARROLL, GLEN						","PO BOX 551","","HOMER","AK","99603"
"30474","TRIDENT SEAFOODS CORPORATION			  ","NAKNEK,AK","SHP","TRIDENT SEAFOODS CORPORATION			","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30479","TRIDENT SEAFOODS CORPORATION			  ","KETCHIKAN,AK","SHP","TRIDENT SEAFOODS CORPORATION			   ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30481","TRIDENT SEAFOODS CORPORATION			  ","PETERSBURG,AK","SHP","TRIDENT SEAFOODS CORPORATION 		    ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30482","TRIDENT SEAFOODS CORPORATION			  ","PETERSBURG,AK","SHP","TRIDENT SEAFOODS CORPORATION 		    ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30483","TRIDENT SEAFOODS CORPORATION			  ","CORDOVA,AK","SHP","TRIDENT SEAFOODS CORPORATION			 ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30485","TRIDENT SEAFOODS CORPORATION			  ","KETCHIKAN,AK","SHP","TRIDENT SEAFOODS CORPORATION			   ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30700","QUIGLEY, JAMES P					      ","CRAIG,AK","SHP","QUIGLEY, JAMES P					       ","PO BOX 80","","CRAIG","AK","99921"
"30813","NSEDC						  ","NOME,AK","SHP","NSEDC					      ","420 L ST SUITE 310","","ANCHORAGE","AK","99501"
"30814","NSEDC						  ","SAVOONGA,AK","SHP","NSEDC						  ","420 L ST SUITE 310","","ANCHORAGE","AK","99501"
"30877","AHN, CHAN Y						      ","KODIAK,AK","SHP","AHN, CHAN Y							","PO BOX 8750","","KODIAK","AK","99615"
"30883","OCEAN BEAUTY SEAFOODS LLC			  ","KODIAK,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			","PO BOX 1457","","KODIAK","AK","99615"
"30884","OCEAN BEAUTY SEAFOODS LLC			  ","ALITAK,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			","PO BOX 1457","","KODIAK","AK","99615"
"30885","OCEAN BEAUTY SEAFOODS LLC			  ","CORDOVA,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			 ","PO BOX 1457","","KODIAK","AK","99615"
"30886","OCEAN BEAUTY SEAFOODS LLC			  ","EXCURSION INLET,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			 ","PO BOX 1457","","KODIAK","AK","99615"
"30887","OCEAN BEAUTY SEAFOODS LLC			  ","NAKNEK,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			","PO BOX 1457","","KODIAK","AK","99615"
"30889","OCEAN BEAUTY SEAFOODS LLC			  ","PETERSBURG,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			    ","PO BOX 1457","","KODIAK","AK","99615"
"30899","LANDRY, JACQUELINE					      ","KODIAK,AK","SHP","LANDRY, JACQUELINE						","1011 MILL BAY ROAD","","KODIAK","AK","99615"
"30909","KODIAK FISHMEAL COMPANY			  ","KODIAK,AK","SHP","KODIAK FISHMEAL COMPANY				","915 GIBSON COVE ROAD","","KODIAK","AK","99615"
"30922","DANIELS, ROY W 					      ","KODIAK,AK","SHP","DANIELS, ROY W						","PO BOX 2","","ELIM","AK","99739"
"31027","TRIDENT SEAFOODS CORPORATION			  ","CORDOVA,AK","SHP","TRIDENT SEAFOODS CORPORATION			 ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"31134","COBY-SCOTT, LAURA					      ","GUSTAVUS,AK","SHP","COBY-SCOTT, LAURA						  ","PO BOX 23","","GUSTAVUS","AK","99826"
"31203","THE RIVER COMPANY, LLC 			  ","KASILOF,AK","SHP","THE RIVER COMPANY, LLC				 ","PO BOX 2589","","KENAI","AK","99611"
"31258","KANAWAY SEAFOODS, INC. 			  ","KETCHIKAN,AK","SHP","KANAWAY SEAFOODS, INC.			   ","6425 NE 175TH ST","","KENMORE","WA","98028"
