31-Dec-2017

PERMIT,PROCESSOR NAME,PLANT LOCATION,ENDORSEMENT,PRIMARY OWNER,ADDRESS 1,ADDRESS 2,CITY,STATE,ZIP CODE
5299,SEWARD FISHERIES,SEWARDAK,SHP,ICICLE SEAFOODS INC.,PO BOX 79003,,SEATTLE,WA,98119
5300,PETERSBURG FISHERIES SUBSIDIARY ICICLE SEAFOODS,PETERSBURGAK,SHP,ICICLE SEAFOODS INC.,PO BOX 79003,,SEATTLE,WA,98119
5302,KACHEMAK BAY SEAFOOD,HOMERAK,SHP,SULLIVAN WILLIAM,PO BOX 4004,,HOMER,AK,99603
5303,ATKA PRIDE SEAFOODS INC.,ATKAAK,SHP,APICDA JOINT VENTURES INC.,302 GOLD ST SUITE 202,,JUNEAU,AK,99801
5305,TRIDENT SEAFOODS CORPORATION,SAND POINTAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
5306,TRIDENT SEAFOODS CORPORATION,AKUTANAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
5307,TRIDENT SEAFOODS CORPORATION,ST PAUL ISLANDAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
5310,UNISEA INC.,DUTCH HARBORAK,SHP,UNISEA INC.,PO BOX 97019,,REDMOND,WA,98073-9719
5320,ALYESKA SEAFOODS INC.,UNALASKAAK,SHP,ALYESKA SEAFOODS INC.,2101 4TH AVE SUITE 1700,,SEATTLE,WA,98121-2377
5323,WESTWARD SEAFOODS INC.,DUTCH HARBORAK,SHP,WESTWARD SEAFOODS INC.,2101 4TH AVE STE 1700,,SEATTLE,WA,98121
5342,NORTH PACIFIC SEAFOODS INC,KODIAKAK,SHP,NORTH PACIFIC SEAFOODS INC,4 NICKERSON ST SUITE 400,,SEATTLE,WA,98109
5346,NORTH PACIFIC SEAFOODS INC,SITKAAK,SHP,NORTH PACIFIC SEAFOODS INC,4 NICKERSON ST SUITE 400,,SEATTLE,WA,98109
5357,PETER PAN SEAFOODS INC.,VALDEZAK,SHP,PETER PAN SEAFOODS INC.,2200 6TH AVE STE 1000,,SEATTLE,WA,98121
5358,PETER PAN SEAFOODS INC.,KING COVEAK,SHP,PETER PAN SEAFOODS INC.,2200 6TH AVE STE 1000,,SEATTLE,WA,98121
5371,SEAFOOD PRODUCERS COOPERATIVE,SITKAAK,SHP,SEAFOOD PRODUCERS COOPERATIVE,2875 ROEDER AVE - SUITE #2,,BELLINGHAM,WA,98225
5376,E.C. PHILLIPS & SON INC.,KETCHIKANAK,SHP,E.C. PHILLIPS & SON INC.,PO BOX 7095,,KETCHIKAN,AK,99901
5383,FAVCO INC.,ANCHORAGEAK,SHP,FAVRETTO GREGORY J,PO BOX 190968,,ANCHORAGE,AK,99519-0968
5392,INTERNATIONAL SEAFOOD OF ALASKA INC.,KODIAKAK,SHP,TRUE WORLD HOLDINGS LLC,192 NICKERSON ST #302,,SEATTLE,WA,98109-1632
5442,E & E FOODS INC DBA  PACIFIC STAR SEAFOODS,KENAIAK,SHP,E & E FOODS INC DBA  PACIFIC STAR SEAFOODS,PO BOX 190,,KENAI,AK,99611
5470,10TH & M SEAFOODS,ANCHORAGEAK,SHP,ALASKA SEA PACK INC.,1020 M ST,,ANCHORAGE,AK,99501
5490,ICY STRAIT SEAFOODS INC.,JUNEAUAK,SHP,BAUMGART HANK,PO BOX 21203,,JUNEAU,AK,99802
5523,SEA LEVEL SEAFOODS LLC,WRANGELLAK,SHP,SEA LEVEL SEAFOODS LLC,PO BOX 2085,,WRANGELL,AK,99929
5797,ALASKAN PREMIER SEAFOODS,HYDERAK,SHP,SIMPSON JAMES E SR,PO BOX 45,,HYDER,AK,99923
5945,ALASKA GLACIER SEAFOODS INC.,JUNEAUAK,SHP,ERICKSON MIKE J,PO BOX 34363,,JUNEAU,AK,99803-4363
6293,COPPER RIVER SEAFOODS INC.,CORDOVAAK,SHP,COPPER RIVER SEAFOODS INC.,1118 E 5TH AVENUE,,ANCHORAGE,AK,99501
7061,TONKA SEAFOODS INC.,PETERSBURGAK,SHP,GILBERT WENDEL,PO BOX 1101,,PETERSBURG,AK,99833
7124,SNUG HARBOR SEAFOODS INC.,KENAIAK,SHP,DALE PAUL D,PO BOX 701,,KENAI,AK,99611
18671,BERING PACIFIC SEAFOODS,FALSE PASSAK,SHP,APICDA JOINT VENTURES INC.,302 GOLD ST SUITE 202,,JUNEAU,AK,99801
25535,NSEDC,NOMEAK,SHP,NSEDC,2701 GAMBELL ST SUITE 400,,ANCHORAGE,AK,99503
26247,NORTH PACIFIC SEAFOODS INC,TOGIAKAK,SHP,NORTH PACIFIC SEAFOODS INC,4 NICKERSON ST SUITE 400,,SEATTLE,WA,98109
27444,TRIDENT SEAFOODS CORPORATION,CHIGNIKAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
