
31-DEC-15

"PERMIT","VESSEL NAME","CG NUM","ADFG","LOA","NET WEIGHT","BSA","GOA","MTH","SFP","SUP","TEN","GOI","PRIMARY OWNER","ADDRESS 1","ADDRESS 2","CITY","STATE","ZIP CODE"

"3228","AKUTAN","288598","50553","166","509","Y","Y","N","Y","N","N","N","KLAWOCK OCEANSIDE				   ","751 NE SOMMERSETH STREET","","POULSBO","WA","98370"
"5314","ARCTIC ENTERPRISE","248169","57104","339","2843","Y","Y","N","Y","N","N","N","TRIDENT SEAFOODS CORPORATION		       ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"19420","ARCTIC V","550931","61211","190","339","N","Y","N","Y","N","N","N","TRIDENT SEAFOODS CORPORATION		      ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"7021","CAPE GREIG","654947","46069","182","658","N","Y","N","Y","N","N","N","CAPE GREIG LLC				       ","PO BOX 80342","","SEATTLE","WA","98108"
"5293","GORDON JENSEN","594619","30919","328","3801","N","N","N","Y","N","N","N","COASTAL STAR, INC.				   ","PO BOX 79003","","SEATTLE","WA","98119"
"4078","NORTHERN VICTOR","248959","60507","379","2196","N","N","N","Y","N","N","N","EVENING STAR, INC.				     ","PO BOX 79003","","SEATTLE","WA","98119"
"4686","PACIFIC PRODUCER","250021","55287","170","235","N","Y","N","Y","N","N","Y","EAST WEST SEAFOODS LLC			     ","1900 NICKERSON ST. SUITE 116-175","","SEATTLE","WA","98119"
"5433","PRIBILOF","293151","45836","205","1035","Y","Y","N","Y","N","N","N","TRIDENT SEAFOODS CORPORATION		      ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"5362","R M THORSTENSON","627433","64242","316","1711","N","N","N","Y","N","N","N","ICICLE VESSEL HOLDINGS, INC.		     ","PO BOX 79003","","SEATTLE","WA","98119"

"Endorsement Codes: BSAI=Bering Sea/Aleutian Islands   GOA=Gulf of Alaska "

"SFP=Stationary Floating Processor"
